"Project: Project Name","Stage Reason","Dealertrack ID","Start Date","Service Account(s) (DMKT)","Service Account (DMKT)"
"BOA - NEBRASKA - Sandhills Motors LLC","DT Enrollment Needed","691777","10/28/2019","",""
"BOA - NEVADA - Autonation USA Henderson","AutoNation","693628","6/10/2019","",""
"BOA - TEXAS - Autonation USA Katy","AutoNation","693630","6/11/2019","",""
"BOA - KANSAS - Mike Carpino Ford Parsons","RouteOne","694717","4/3/2019","",""
"BOA - SOUTH CAROLINA - South Strand Chrysler Dodge Jeep Ram","RouteOne","696597","5/28/2019","",""
"BOA - TX - MINI of the Woodlands - Project -","DT Enrollment Needed","696828","12/4/2017","",""
"BOA - GA - Mercedes Benz of Marietta - Project -","AutoNation","699266","11/14/2017","",""
"BOA - TEXAS - Chevrolet Buick GMC of Gainesville","RouteOne","699661","4/30/2019","",""
"BOA - TEXAS - Polk Chevrolet of Sanger","RouteOne","699688","5/28/2019","",""
"BOA - GEORGIA - WOODY FOLSOM CHRYSLER DODGE JEEP","RouteOne","701864","5/3/2019","",""
"BOA - KANSAS - Dale Willey Chrysler Dodge Jeep of Lawrence","RouteOne","703280","6/20/2019","",""
"BOA - MD -  Audi Hunt Valley - Project -","AutoNation","704888","11/13/2017","",""
"BOA - Autonation Honda Columbus - Project -","AutoNation","704898","11/13/2017","",""
"BOA - GA - Autonation Hyundai Columbus - Project -","AutoNation","704901","11/14/2017","",""
"BOA - CONNECTICUT - Gengras Ford","RouteOne","704949","6/4/2019","",""
"BOA - OKLAHOMA - RIVERSIDE FORD OF TULSA","RouteOne","705385","5/17/2019","",""
"BOA - OKLAHOMA - BYFORD CHRYSLER JEEP DODGE OF","RouteOne","706461","3/20/2018","",""
"BOA - GEORGIA - MURRAY FORD OF KINGSLAND INC","DT Enrollment Needed","706803","3/10/2020","murrayfordofkingslandinclend",""
"BOA - NEW YORK - Jaguar Land Rover Manhattan","RouteOne","707178","10/4/2019","","jaguarlandrovermanhattanlend"
"BOA - LOUISIANA - STERLING PREMIUM SELECT","RouteOne","707546","9/24/2019","",""
"BOA - ARIZONA - Carvana Harrisburg","Failure to Launch","708065","12/28/2018","",""
"BOA - MISSOURI - WOOD MOTOR COMPANY FORD LLC","RouteOne","712150","8/2/2019","",""
"BOA - CA - MINI OF VALENCIA - Project -","AutoNation","712627","11/13/2017","",""
"BOA - IL - Mercedes-Benz Of Westmont - Project -","AutoNation","712967","11/13/2017","",""
"BOA - NY - Emerling Chry Dodge Jeep Ram - Project -","RouteOne","718043","9/13/2017","",""
"BOA - KANSAS - Mike Carpino Ford Inc","RouteOne","738293","7/15/2019","",""
"BOA - NEBRASKA - Wagner Chevrolet Buick","Inventory Delay","739461","4/30/2019","",""
"BOA - AZ - AutoNation Toyota Tempe - Project -","AutoNation","742245","11/14/2017","",""
"BOA - AZ - AutoNation Chrysler Dodge Jeep Ram FIAT North Phoenix - Project -","AutoNation","742584","11/13/2017","",""
"BOA - MICHIGAN - Wilson Ford Lincoln","RouteOne","743128","3/25/2018","",""
"BOA - MISSOURI - Wood Motor Chrysler Dodge Jeep RAM","Failure to Launch","743976","9/26/2019","",""
"BOA - SOUTH CAROLINA - Steve Padgetts Honda of Lake Murray","RouteOne","744754","11/25/2019","",""
"BOA - TEXAS - Nyle Maxwell CDJR of Castroville","DMKT - Prod - Reason (noted/explained in DNA ticket)","744827","10/4/2019","nylemaxwellofcastrovillelllend",""
"BOA - ARIZONA - CARMAX SCOTTSDALE","Inventory Delay","744834","4/6/2020","",""
"BOA - CALIFORNIA - CARMAX PLEASANT HILL","DT Enrollment Needed","747024","3/10/2020","",""
